Gene1,Gene2,Score
AT1G51800,AT5G20480,0.13548505
AT5G01540,AT4G24160,0.13474753
AT5G46330,AT4G08850,0.13439167
AT5G04140,AT5G53460,0.13416007
AT1G30730,AT2G25470,0.13409019
AT1G61360,AT3G22060,0.13384022
AT1G30720,AT1G21670,0.13353784
AT3G59880,AT3G29034,0.13350628
AT5G53110,AT1G05300,0.13343011
AT3G52450,AT1G51620,0.13310781
AT3G19010,AT4G01700,0.13308910000000002
AT4G01700,AT1G49000,0.13305438
AT2G25470,AT3G59880,0.13286418
AT2G39200,AT2G02220,0.13262923
AT2G44380,AT5G10450,0.13260552
AT2G41220,AT4G27730,0.13251616
AT1G30730,AT2G36690,0.13250138
AT4G01700,AT2G44370,0.1324346
AT2G36690,AT2G39530,0.13194205
AT1G72300,AT1G37130,0.13180496
AT4G21870,AT1G64280,0.1313386
AT1G30720,AT2G19190,0.13088557
AT4G01700,AT2G19190,0.13082096
AT5G13930,AT5G10450,0.13021396
AT1G51620,AT2G25470,0.12990357
AT5G04140,AT4G30190,0.12954207
AT1G30720,AT5G66420,0.12919764
AT1G77380,AT1G51890,0.12901881
AT2G44370,AT1G05300,0.1289529
AT3G19450,AT1G65490,0.128795
AT2G39200,AT2G44370,0.12867832
AT5G13930,AT1G35160,0.1285823
AT1G61380,AT5G55050,0.1279735
AT2G02220,AT4G01250,0.1279451
AT1G65490,AT1G77380,0.12789088
AT1G70530,AT4G31800,0.12763995
AT4G01250,AT4G31800,0.12749167
AT3G19010,AT1G49000,0.12740514
AT5G66420,AT2G37040,0.12732245
AT1G51800,AT3G22060,0.12717508
AT5G48430,AT4G20860,0.127089
AT5G59080,AT1G21670,0.12708339
AT5G04140,AT2G37710,0.12699509
AT2G37040,AT5G10450,0.1269092
AT2G30490,AT5G55050,0.12666318
AT4G28140,AT4G31800,0.1266546
AT2G25470,AT1G64170,0.12655947
AT1G30730,AT2G02220,0.12647146
AT1G49000,AT1G12940,0.12635759
AT2G44370,AT1G02450,0.12618801
AT2G25470,AT4G38560,0.12604536
AT1G72300,AT5G20480,0.12600009
AT3G59880,AT1G35160,0.12593247
AT5G37600,AT1G05300,0.12562953
AT3G52450,AT2G44490,0.12539606
AT3G19010,AT2G42360,0.12536088
AT1G52200,AT1G49000,0.12531702
AT4G20860,AT4G21410,0.12496576
AT1G12940,AT1G35160,0.12484521400000001
AT2G02220,AT4G31800,0.12470203
AT2G42360,AT1G14780,0.12417368599999999
AT1G49000,AT1G70530,0.124155164
AT4G08850,AT2G37710,0.124009594
AT1G61380,AT4G08850,0.12393889999999999
AT4G38560,AT5G37600,0.12387846400000001
AT1G19380,AT2G44490,0.12387266
AT2G19190,AT1G30720,0.12377653
AT2G30490,AT2G42360,0.123712584
AT2G36690,AT2G02220,0.12368702
AT2G39200,AT1G14780,0.12352799
AT1G14780,AT5G55050,0.12332838
AT4G23210,AT1G51890,0.123296805
AT1G51800,AT1G02450,0.123233885
AT1G65690,AT1G52200,0.12319445
AT2G42360,AT3G19010,0.12316309
AT1G64170,AT2G37710,0.123116806
AT4G20000,AT5G53110,0.12290031
AT1G52200,AT4G24160,0.122802176
AT4G20860,AT5G07440,0.12278169
AT4G01250,AT5G39580,0.12274876
AT1G51800,AT1G35160,0.122704014
AT1G77380,AT2G44490,0.12268536
AT1G12940,AT3G59880,0.12250049
AT3G19930,AT1G37130,0.12237956
AT1G64170,AT5G07440,0.12234047
AT2G30360,AT4G24160,0.12187272
